round,value,pos,encoding,final_encoding,is_recode,update_start,update_end,updated_rows
175,apple,168,459,459,0,,,0
176,apple,69,185,185,0,,,0
177,apple,165,0,470,1,248,512,82
178,apple,75,197,197,0,,,0
179,apple,116,319,319,0,,,0
180,apple,179,508,508,0,,,0
181,apple,82,0,164,1,0,248,92
182,apple,127,346,346,0,,,0
183,apple,121,328,328,0,,,0
184,apple,29,57,57,0,,,0
185,apple,6,11,11,0,,,0
186,apple,79,153,153,0,,,0
187,apple,98,253,253,0,,,0
188,apple,87,167,167,0,,,0
189,apple,107,274,274,0,,,0
190,apple,48,91,91,0,,,0
191,apple,66,125,125,0,,,0
192,apple,27,51,51,0,,,0
193,apple,64,119,119,0,,,0
194,apple,186,487,487,0,,,0
195,apple,130,325,325,0,,,0
196,apple,53,97,97,0,,,0
197,apple,155,388,388,0,,,0
198,apple,110,268,268,0,,,0
199,apple,5,9,9,0,,,0
200,apple,57,101,101,0,,,0
