user_id	item_id	predicted_rating
1	260	94.6675
1	1927	95.0941
1	804	83.6874
1	3	82.8459
1	1009	83.1039
1	2406	87.8541
1	1587	84.7333
1	3671	94.8848
1	2617	80.3001
1	3053	94.9783
1	2571	92.6447
1	1222	98.3537
1	2137	88.3038
1	1377	80.1105
1	2395	85.8883
1	2761	96.9836
1	2641	78.8633
1	2872	90.2200
1	1258	96.5610
1	2700	92.6041
2	333	73.7338
2	122882	74.7373
2	71535	75.1054
2	46970	67.3229
2	58559	80.8462
2	80489	74.8726
3	5764	42.9096
3	647	29.0718
3	6835	42.9096
3	5919	56.3124
3	2851	27.6888
3	2288	45.1986
3	5048	16.4770
3	4518	55.1787
4	106	64.6613
4	1291	77.1163
4	3408	62.7477
4	265	63.6403
4	52	72.8613
4	4347	74.3531
4	2467	72.1588
4	908	84.6196
4	345	69.9113
4	1304	80.1201
4	1923	64.5854
4	2959	73.5391
4	368	55.8648
4	1219	80.2560
4	4765	68.9158
4	1199	72.3939
4	4166	64.2634
4	1732	72.7685
4	21	59.9452
4	2858	69.0604
5	515	72.9989
5	1	78.2452
5	364	78.7304
5	608	81.5341
5	290	78.8506
5	261	73.5800
5	34	70.5810
5	318	85.9958
5	21	66.7583
6	349	78.1862
6	318	89.3853
6	775	73.5875
6	141	76.2264
6	348	73.2125
6	104	78.5587
6	327	65.3947
6	410	72.4257
6	165	80.8121
6	87	69.9529
6	366	68.2168
6	17	81.3393
6	1084	86.9531
6	222	80.8141
6	16	75.6413
6	416	57.0527
6	277	72.1088
6	460	73.4255
6	867	64.4828
6	316	74.5591
7	8528	69.7432
7	3623	48.0115
7	8636	69.7497
7	8360	71.4158
7	1517	67.9925
7	466	51.2084
7	8373	43.4060
7	1220	74.2522
7	7155	47.9290
7	8808	45.9533
7	6863	65.0025
7	31878	66.8660
7	1610	72.8432
7	1219	77.7439
7	4700	53.2725
7	45668	50.3965
7	8970	66.1683
7	27741	68.4874
7	6333	69.8926
7	8865	47.2491
8	356	82.5262
8	47	80.0305
8	231	63.4344
8	318	88.7721
8	454	72.6537
8	292	67.6428
8	32	81.1088
8	141	69.9126
8	380	70.2891
8	252	66.7781
9	5451	56.8697
9	923	84.7247
9	5890	88.8959
9	2901	59.9842
9	922	83.7057
9	6044	65.0573
9	1987	65.0573
9	5378	69.8428
9	3735	71.4011
9	5447	55.0450
10	597	56.0501
10	33679	67.1771
10	8533	70.4063
10	8969	64.9843
10	72720	66.1120
10	88810	75.8506
10	136020	55.9786
10	6377	66.7626
10	5943	55.6584
10	109374	70.5041
10	113394	63.8920
10	61250	53.6304
10	82167	60.6458
10	140110	64.5316
10	5377	71.0695
10	77841	63.8920
10	6942	70.0290
10	1028	68.4879
10	72330	63.8920
10	66203	59.6984
11	733	78.8918
11	1584	80.2815
11	1210	88.0949
11	170	69.3826
11	1438	59.7425
11	648	76.4342
11	1918	64.3541
11	493	79.8800
11	10	74.7647
11	457	84.6519
11	1693	77.6929
11	150	82.4672
11	1923	78.8264
12	2717	78.8418
12	2100	79.1305
12	838	95.4018
12	2072	79.0318
12	1876	78.4355
12	2581	81.6794
12	6942	95.1097
13	3717	71.0161
13	3624	71.7495
13	3798	68.6680
13	2174	79.5348
13	47	87.0633
13	3893	76.5870
13	305	63.1009
14	344	59.4703
14	477	73.5050
14	110	75.9317
14	540	61.2384
14	597	69.0561
14	153	58.2923
14	592	66.6254
14	4	54.0341
14	539	70.6616
14	105	70.3333
15	91529	62.8309
15	7438	69.4321
15	111759	64.7449
15	2329	82.0519
15	1	76.8906
15	1909	72.9248
15	1240	79.7448
15	115713	65.6644
15	1200	82.2772
15	293	80.0867
15	2571	80.4323
15	3949	67.3949
15	120466	61.8391
15	1198	81.7532
15	2028	83.5785
15	2011	73.6372
15	158	50.3121
15	160980	67.8535
15	4306	72.2977
15	4022	70.8700
16	1230	73.4896
16	78499	74.8756
16	913	76.9700
16	1136	74.4182
16	1299	73.4809
16	1617	73.2956
16	1203	76.7494
16	3429	79.0190
16	2858	69.1210
16	608	73.1005
16	3683	77.0203
16	4002	68.0433
16	1199	78.9756
16	912	75.7263
16	2707	58.8618
16	5782	73.2724
16	1260	69.3108
16	319	70.5547
16	27773	75.4745
16	2109	63.9937
17	260	91.7684
17	64839	79.8053
17	296	91.8564
17	5952	87.3686
17	527	92.4472
17	1193	88.4402
17	3681	83.9087
17	1240	84.5777
17	2717	67.0719
17	2858	88.4068
17	1093	70.6177
17	81932	79.1848
17	5618	89.2187
17	50	91.2408
17	5971	83.7147
17	2959	93.0090
17	1201	85.3344
17	541	89.7337
17	82459	79.7879
17	1	86.5216
18	8117	70.0409
18	65596	70.0409
18	88094	70.0409
18	145283	70.0409
18	157110	70.0409
18	166015	70.0409
18	171023	70.0409
18	103253	62.2722
18	60684	78.1780
18	44199	78.8595
18	2	64.9108
18	86628	70.8770
18	59784	69.7187
18	2918	77.7919
18	109374	79.5644
18	4226	85.7736
18	53129	82.6068
18	139385	77.4204
18	47	78.2399
18	1291	83.0387
19	3692	56.2249
19	3662	49.6269
19	54	43.1028
19	2733	47.0826
19	1702	44.9087
19	1240	70.4830
19	1270	75.7902
19	3712	52.9378
19	1881	53.7982
19	216	56.3693
19	3	49.5490
19	1834	60.3565
19	2184	51.9960
19	3017	50.3519
19	2044	47.7154
19	2354	46.9496
19	2005	60.0822
19	3146	39.7898
19	3387	47.9998
19	2694	49.1754
20	1566	79.8520
20	5419	56.7344
20	4014	76.0307
20	2140	70.9309
20	586	75.4676
20	661	78.9343
20	3189	75.3941
20	5014	84.4484
20	1333	84.7145
20	4161	56.3905
20	3784	63.3543
20	1030	71.9642
20	5313	39.2719
20	2804	91.3836
20	2054	69.4187
20	34	85.6038
20	1097	85.0982
20	6358	72.7120
20	4519	65.1501
20	1722	55.5983
21	107013	65.0828
21	117922	65.0828
21	140301	65.0828
21	57640	76.8481
21	2985	65.0991
21	2990	80.6153
21	2717	62.6661
21	5418	70.5753
21	31433	61.6411
21	112175	78.4969
21	7153	73.4765
21	30793	62.4422
21	4446	74.9092
21	52973	70.4279
21	45186	75.0594
21	2023	70.3055
21	79185	67.4328
21	1721	63.6285
21	102125	71.0296
21	5459	62.5574
22	8961	48.3157
22	2723	51.3552
22	60950	31.8799
22	64575	37.8000
22	1193	65.2211
22	70286	46.1185
22	4993	62.1839
22	2160	68.7513
22	39183	44.6690
22	7147	50.3854
22	3996	58.7881
22	3481	57.4900
22	55765	42.5459
22	48780	51.9139
